ocel:eid,ocel:timestamp,ocel:activity,ocel:type:vacancies,ocel:type:managers,ocel:type:applicants,ocel:type:applications,ocel:type:recruiters,ocel:type:offers
1668,2019-06-28 15:17:17+00:00,first screening,,,,['Application[770342]'],['Ed Kershaw'],
1669,2019-06-28 15:41:07+00:00,assign recruiter,,,,['Application[770312]'],"['Jana Meister', 'Simon Geisler', 'Jana Kershaw']",
1670,2019-06-28 15:53:46+00:00,conduct interview,['Vacancy[550004] - Programmer'],['Martin Klenk'],['Ray Jansen'],['Application[770044]'],['Jana Kershaw'],
1671,2019-06-28 16:27:20+00:00,check references,,,,['Application[770290]'],"['Jana Keane', 'Simon Geisler']",
1672,2019-06-28 16:37:46+00:00,submit application,['Vacancy[550016] - Manager'],,['Andre Weber'],['Application[770356]'],,
1673,2019-06-28 18:06:04+00:00,first screening,,,,['Application[770341]'],['Ed Hense'],
1674,2019-06-28 18:15:14+00:00,first screening,,,,['Application[770165]'],['Simon Hense'],
1675,2019-06-28 18:21:57+00:00,submit application,,,['Jorge Schmidt'],['Application[770357]'],,
1676,2019-06-28 18:31:45+00:00,conduct interview,['Vacancy[550011] - Programmer'],['Miguel Milano'],['Andre Park'],['Application[770235]'],['Jana Keane'],
1677,2019-06-28 18:35:40+00:00,offer accepted and hired,['Vacancy[550014] - Manager'],,['Vanessa Li'],['Application[770148]'],['Dionne Hense'],['Offer[[990005]]']
1678,2019-06-28 19:30:55+00:00,send rejection,,,['Angela Neumann'],['Application[770097]'],['Simon Meister'],
1679,2019-06-28 20:12:34+00:00,submit application,,,['Angela Li'],['Application[770358]'],,
1680,2019-06-29 03:32:51+00:00,close vacancy for new applications,['Vacancy[550016] - Manager'],,,,,
1681,2019-06-29 03:32:51+00:00,consult manager,,['Alexander Rinke'],,['Application[770173]'],['Dionne Kershaw'],
1682,2019-06-29 03:32:51+00:00,consult manager,,['Alexander Rinke'],,['Application[770095]'],['Simon Keane'],
1683,2019-06-29 03:32:51+00:00,consult manager,,['Alexander Rinke'],,['Application[770085]'],['Ed Kershaw'],
1684,2019-06-29 03:32:51+00:00,consult manager,,['Alexander Rinke'],,['Application[770304]'],['Ed Keane'],
1685,2019-06-29 03:32:51+00:00,consult manager,,['Alexander Rinke'],,['Application[770204]'],['Jana Keane'],
1686,2019-06-29 03:32:51+00:00,consult manager,,['Alexander Rinke'],,['Application[770138]'],['Ed Kershaw'],
1687,2019-06-29 08:20:40+00:00,submit application,,,['Mary Park'],['Application[770359]'],,
1688,2019-06-29 13:27:05+00:00,close vacancy for new applications,['Vacancy[550017] - Consultant'],,,,,
1689,2019-06-29 13:27:05+00:00,consult manager,,['Bastian Nominacher'],,['Application[770253]'],['Dionne Kershaw'],
1690,2019-06-29 13:27:05+00:00,consult manager,,['Bastian Nominacher'],,['Application[770123]'],['Jana Meister'],
1691,2019-06-29 13:27:05+00:00,consult manager,,['Bastian Nominacher'],,['Application[770213]'],['Dionne Keane'],
1692,2019-06-29 13:27:05+00:00,consult manager,,['Bastian Nominacher'],,['Application[770143]'],['Jana Hense'],
1693,2019-06-29 16:04:37+00:00,submit application,['Vacancy[550056] - Programmer'],,['Ray Jones'],['Application[770360]'],,
1694,2019-06-30 06:51:10+00:00,close vacancy for new applications,['Vacancy[550018] - Programmer'],,,,,
1695,2019-06-30 06:51:10+00:00,consult manager,,['Ariel Bardin'],,['Application[770172]'],['Simon Meister'],
1696,2019-06-30 06:51:10+00:00,consult manager,,['Ariel Bardin'],,['Application[770026]'],['Ed Keane'],
1697,2019-06-30 06:51:10+00:00,consult manager,,['Ariel Bardin'],,['Application[770208]'],['Simon Keane'],
1698,2019-06-30 06:51:10+00:00,consult manager,,['Ariel Bardin'],,['Application[770115]'],['Dionne Meister'],
1699,2019-06-30 06:51:10+00:00,consult manager,,['Ariel Bardin'],,['Application[770201]'],['Dionne Keane'],
1700,2019-06-30 10:08:31+00:00,submit application,['Vacancy[550036] - Manager'],,['Pete Johnson'],['Application[770361]'],,
1701,2019-06-30 14:25:42+00:00,close vacancy for new applications,['Vacancy[550019] - Manager'],,,,,
1702,2019-06-30 14:25:42+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770001]'],['Dionne Keane'],
1703,2019-06-30 14:25:42+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770162]'],['Jana Kershaw'],
1704,2019-06-30 14:42:46+00:00,open vacancy,['Vacancy[550060] - Consultant'],['Martin Klenk'],,,,
1705,2019-06-30 18:12:06+00:00,submit application,['Vacancy[550048] - Programmer'],,['Detlef Park'],['Application[770362]'],,
1706,2019-07-01 04:05:26+00:00,submit application,,,['Sue Jansen'],['Application[770363]'],,
1707,2019-07-01 06:11:18+00:00,invite for interview,['Vacancy[550007] - Consultant'],,['Lisa Jansen'],['Application[770141]'],"['Jana Meister', 'Jana Geisler']",
1708,2019-07-01 06:36:03+00:00,invite for interview,['Vacancy[550009] - Programmer'],,['Angela Johnson'],['Application[770167]'],"['Ed Meister', 'Simon Keane']",
1709,2019-07-01 06:49:23+00:00,consult manager,,['Bastian Nominacher'],,['Application[770214]'],['Ed Kershaw'],
1710,2019-07-01 07:08:18+00:00,submit application,['Vacancy[550044] - Manager'],,['Lisa Smith'],['Application[770364]'],,
1711,2019-07-01 07:52:38+00:00,submit application,['Vacancy[550031] - Programmer'],,['Pete Weber'],['Application[770365]'],,
1712,2019-07-01 08:03:14+00:00,first screening,,,,['Application[770319]'],['Jana Geisler'],
1713,2019-07-01 08:04:19+00:00,check references,,,,['Application[770214]'],"['Jana Keane', 'Ed Meister']",
1714,2019-07-01 08:40:51+00:00,assign recruiter,,,,['Application[770353]'],"['Ed Hense', 'Dionne Kershaw', 'Ed Geisler']",
1715,2019-07-01 08:46:58+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770099]'],['Simon Meister'],
1716,2019-07-01 09:29:36+00:00,submit application,,,['Johan Lopez'],['Application[770366]'],,
1717,2019-07-01 09:43:20+00:00,assign recruiter,,,,['Application[770299]'],"['Simon Meister', 'Ed Kershaw', 'Dionne Keane']",
1718,2019-07-01 09:50:53+00:00,conduct interview,['Vacancy[550011] - Programmer'],['Miguel Milano'],['Detlef Wagner'],['Application[770166]'],['Simon Geisler'],
1719,2019-07-01 10:04:13+00:00,invite for interview,['Vacancy[550016] - Manager'],,['Sue Schmidt'],['Application[770138]'],"['Simon Hense', 'Ed Meister']",
1720,2019-07-01 10:06:18+00:00,first screening,,,,['Application[770312]'],['Jana Meister'],
1721,2019-07-01 10:07:28+00:00,conduct interview,['Vacancy[550005] - Programmer'],['Martin Klenk'],['Jorge Lopez'],['Application[770081]'],['Ed Geisler'],
1722,2019-07-01 10:18:27+00:00,check references,,,,['Application[770233]'],"['Simon Keane', 'Ed Meister']",
1723,2019-07-01 10:20:38+00:00,conduct interview,['Vacancy[550003] - Programmer'],['Bastian Nominacher'],['Stephan Smith'],['Application[770023]'],['Dionne Hense'],
1724,2019-07-01 10:43:31+00:00,submit application,,,['Sue Li'],['Application[770367]'],,
1725,2019-07-01 11:19:09+00:00,assign vacancy,['Vacancy[550021] - Programmer'],,,['Application[770176]'],,
1726,2019-07-01 11:22:01+00:00,check references,,,,['Application[770267]'],"['Ed Kershaw', 'Simon Geisler']",
1727,2019-07-01 11:49:23+00:00,check references,,,,['Application[770072]'],"['Simon Geisler', 'Jana Meister']",
1728,2019-07-01 12:11:22+00:00,submit application,['Vacancy[550047] - Consultant'],,['Mary Brown'],['Application[770368]'],,
1729,2019-07-01 12:30:10+00:00,assign recruiter,,,,['Application[770361]'],"['Simon Hense', 'Dionne Kershaw', 'Simon Kershaw']",
1730,2019-07-01 12:30:45+00:00,assign recruiter,,,,['Application[770300]'],"['Simon Hense', 'Ed Keane', 'Jana Keane']",
1731,2019-07-01 12:37:23+00:00,open vacancy,['Vacancy[550061] - Programmer'],['Martin Klenk'],,,,
1732,2019-07-01 12:37:58+00:00,invite for interview,['Vacancy[550016] - Manager'],,['Detlef Davis'],['Application[770173]'],"['Simon Geisler', 'Ed Meister']",
1733,2019-07-01 12:55:42+00:00,submit application,['Vacancy[550032] - Programmer'],,['Detlef Smith'],['Application[770369]'],,
1734,2019-07-01 13:02:35+00:00,first screening,,,,['Application[770331]'],['Simon Hense'],
1735,2019-07-01 14:13:05+00:00,invite for interview,['Vacancy[550018] - Programmer'],,['Sonia Lemmens'],['Application[770115]'],"['Dionne Keane', 'Ed Meister']",
1736,2019-07-01 14:15:28+00:00,check references,,,,['Application[770165]'],"['Dionne Meister', 'Jana Geisler']",
1737,2019-07-01 14:17:11+00:00,send rejection,,,['Dave Neumann'],['Application[770027]'],['Ed Keane'],
1738,2019-07-01 14:22:57+00:00,first screening,,,,['Application[770194]'],['Ed Geisler'],
1739,2019-07-01 14:26:59+00:00,assign recruiter,,,,['Application[770131]'],"['Dionne Hense', 'Dionne Meister', 'Simon Kershaw']",
1740,2019-07-01 14:29:55+00:00,first screening,,,,['Application[770353]'],['Ed Hense'],
1741,2019-07-01 14:34:56+00:00,first screening,,,,['Application[770308]'],['Jana Kershaw'],
1742,2019-07-01 14:35:43+00:00,submit application,['Vacancy[550043] - Consultant'],,['Ray Johnson'],['Application[770370]'],,
1743,2019-07-01 14:39:41+00:00,assign recruiter,,,,['Application[770338]'],"['Ed Meister', 'Simon Hense', 'Ed Keane']",
1744,2019-07-01 14:57:18+00:00,send rejection,,,['Chun Davis'],['Application[770146]'],['Ed Meister'],
1745,2019-07-01 15:01:13+00:00,first screening,,,,['Application[770277]'],['Simon Keane'],
1746,2019-07-01 15:25:54+00:00,invite for interview,['Vacancy[550013] - Manager'],,['Johan Wagner'],['Application[770291]'],"['Simon Meister', 'Dionne Geisler']",
1747,2019-07-01 15:42:23+00:00,assign recruiter,,,,['Application[770305]'],"['Simon Kershaw', 'Simon Meister', 'Simon Hense']",
1748,2019-07-01 15:55:46+00:00,submit application,['Vacancy[550049] - Programmer'],,['Angela Davis'],['Application[770371]'],,
1749,2019-07-01 16:07:57+00:00,check references,,,,['Application[770342]'],"['Simon Keane', 'Dionne Keane']",
1750,2019-07-01 16:15:45+00:00,conduct interview,['Vacancy[550007] - Consultant'],['Alexander Rinke'],['Toon Lopez'],['Application[770056]'],['Dionne Kershaw'],
1751,2019-07-01 16:43:03+00:00,check references,,,,['Application[770243]'],"['Dionne Geisler', 'Jana Hense']",
1752,2019-07-01 17:13:55+00:00,consult manager,,['Alexander Rinke'],,['Application[770094]'],['Dionne Hense'],
1753,2019-07-01 17:26:00+00:00,send rejection,,,['Lisa Li'],['Application[770059]'],['Simon Keane'],
1754,2019-07-01 17:35:52+00:00,submit application,['Vacancy[550049] - Programmer'],,['Sonia Wagner'],['Application[770372]'],,
1755,2019-07-01 17:48:46+00:00,first screening,,,,['Application[770272]'],['Simon Kershaw'],
1756,2019-07-01 17:49:35+00:00,send rejection,,,['Mary Davis'],['Application[770324]'],['Dionne Kershaw'],
1757,2019-07-01 18:27:44+00:00,assign recruiter,,,,['Application[770365]'],"['Dionne Kershaw', 'Jana Hense', 'Dionne Keane']",
1758,2019-07-01 18:30:30+00:00,send rejection,,,['Toon Lopez'],['Application[770056]'],['Dionne Kershaw'],
1759,2019-07-01 19:40:23+00:00,submit application,,,['Johan Park'],['Application[770373]'],,
1760,2019-07-01 22:25:35+00:00,submit application,,,['Lisa Johnson'],['Application[770374]'],,
1761,2019-07-02 00:20:43+00:00,open vacancy,['Vacancy[550062] - Programmer'],['Martin Klenk'],,,,
1762,2019-07-02 06:14:26+00:00,submit application,,,['Sonia Brown'],['Application[770375]'],,
1763,2019-07-02 06:51:49+00:00,check references,,,,['Application[770301]'],"['Jana Meister', 'Jana Geisler']",
1764,2019-07-02 06:53:11+00:00,assign vacancy,['Vacancy[550024] - Consultant'],,,['Application[770338]'],,
1765,2019-07-02 06:55:30+00:00,invite for interview,['Vacancy[550017] - Consultant'],,['Sonia Wang'],['Application[770213]'],"['Simon Geisler', 'Jana Geisler']",
1766,2019-07-02 07:08:19+00:00,assign recruiter,,,,['Application[770347]'],"['Simon Geisler', 'Ed Meister', 'Jana Kershaw']",
1767,2019-07-02 07:28:17+00:00,invite for interview,['Vacancy[550014] - Manager'],,['Sue Lemmens'],['Application[770109]'],"['Simon Kershaw', 'Simon Geisler']",
1768,2019-07-02 07:35:59+00:00,submit application,['Vacancy[550040] - Consultant'],,['Dave Wagner'],['Application[770376]'],,
1769,2019-07-02 07:53:17+00:00,send rejection,,,['Ray Jansen'],['Application[770044]'],['Jana Kershaw'],
1770,2019-07-02 08:01:55+00:00,send rejection,,,['Toon Smith'],['Application[770172]'],['Simon Meister'],
1771,2019-07-02 08:21:34+00:00,send rejection,,,['Angela Smith'],['Application[770304]'],['Ed Keane'],
1772,2019-07-02 08:22:22+00:00,send rejection,,,['Jorge Taylor'],['Application[770142]'],['Ed Geisler'],
1773,2019-07-02 08:30:06+00:00,send rejection,,,['Stephan Zimmermann'],['Application[770151]'],['Simon Hense'],
1774,2019-07-02 08:37:49+00:00,conduct interview,['Vacancy[550001] - Manager'],['Vaishnavi Sashikanth'],['Vanessa Davis'],['Application[770098]'],['Jana Hense'],
1775,2019-07-02 08:38:32+00:00,assign vacancy,['Vacancy[550012] - Programmer'],,,['Application[770131]'],,
1776,2019-07-02 08:41:47+00:00,invite for interview,['Vacancy[550016] - Manager'],,['Sue Weber'],['Application[770094]'],"['Simon Geisler', 'Ed Keane']",
1777,2019-07-02 08:42:46+00:00,consult manager,,['Miguel Milano'],,['Application[770139]'],['Dionne Kershaw'],
1778,2019-07-02 08:45:17+00:00,send rejection,,,['Toon Johnson'],['Application[770308]'],['Jana Kershaw'],
1779,2019-07-02 08:56:18+00:00,submit application,['Vacancy[550060] - Consultant'],,['Lisa Wang'],['Application[770377]'],,
1780,2019-07-02 08:57:34+00:00,assign recruiter,,,,['Application[770281]'],"['Jana Geisler', 'Simon Kershaw', 'Ed Meister']",
1781,2019-07-02 08:57:41+00:00,send rejection,,,['Angela Park'],['Application[770013]'],['Ed Hense'],
1782,2019-07-02 08:59:44+00:00,send rejection,,,['Pete Brown'],['Application[770198]'],['Jana Meister'],
1783,2019-07-02 09:01:15+00:00,first screening,,,,['Application[770333]'],['Dionne Keane'],
1784,2019-07-02 09:08:57+00:00,assign recruiter,,,,['Application[770246]'],"['Ed Geisler', 'Ed Kershaw', 'Ed Meister']",
1785,2019-07-02 09:13:34+00:00,check references,,,,['Application[770313]'],"['Dionne Keane', 'Jana Hense']",
1786,2019-07-02 09:19:34+00:00,consult manager,,['Martin Klenk'],,['Application[770035]'],['Jana Geisler'],
1787,2019-07-02 09:29:31+00:00,conduct interview,['Vacancy[550012] - Programmer'],['Miguel Milano'],['Ray Weber'],['Application[770170]'],['Ed Keane'],
1788,2019-07-02 09:32:46+00:00,make job offer,['Vacancy[550011] - Programmer'],['Miguel Milano'],['Detlef Wagner'],['Application[770166]'],['Simon Geisler'],['Offer[[990006]]']
1789,2019-07-02 09:33:40+00:00,assign recruiter,,,,['Application[770207]'],"['Dionne Meister', 'Ed Keane', 'Simon Keane']",
1790,2019-07-02 09:55:17+00:00,invite for interview,['Vacancy[550014] - Manager'],,['Chun Lemmens'],['Application[770267]'],"['Ed Kershaw', 'Simon Geisler']",
1791,2019-07-02 10:00:59+00:00,assign vacancy,['Vacancy[550044] - Manager'],,,['Application[770202]'],,
1792,2019-07-02 10:36:55+00:00,submit application,['Vacancy[550050] - Manager'],,['Ray Jansen'],['Application[770378]'],,
1793,2019-07-02 10:39:36+00:00,assign vacancy,['Vacancy[550021] - Programmer'],,,['Application[770251]'],,
1794,2019-07-02 10:39:56+00:00,assign recruiter,,,,['Application[770364]'],"['Ed Keane', 'Jana Keane', 'Ed Meister']",
1795,2019-07-02 11:02:14+00:00,send rejection,,,['Jorge Wagner'],['Application[770181]'],['Jana Hense'],
1796,2019-07-02 11:15:23+00:00,assign recruiter,,,,['Application[770368]'],"['Ed Meister', 'Dionne Hense', 'Jana Meister']",
1797,2019-07-02 11:33:58+00:00,first screening,,,,['Application[770305]'],['Simon Kershaw'],
1798,2019-07-02 11:58:10+00:00,submit application,,,['Lisa Jones'],['Application[770379]'],,
1799,2019-07-02 12:07:41+00:00,invite for interview,['Vacancy[550016] - Manager'],,['Sue Wagner'],['Application[770095]'],"['Jana Keane', 'Jana Meister']",
1800,2019-07-02 12:07:48+00:00,conduct interview,['Vacancy[550011] - Programmer'],['Miguel Milano'],['Angela Lemmens'],['Application[770086]'],['Ed Meister'],
1801,2019-07-02 12:21:10+00:00,check references,,,,['Application[770341]'],"['Simon Geisler', 'Simon Hense']",
1802,2019-07-02 12:30:12+00:00,close vacancy for new applications,['Vacancy[550020] - Consultant'],,,,,
1803,2019-07-02 12:30:12+00:00,consult manager,,['Martin Klenk'],,['Application[770245]'],['Dionne Geisler'],
1804,2019-07-02 12:30:12+00:00,consult manager,,['Martin Klenk'],,['Application[770276]'],['Ed Meister'],
1805,2019-07-02 12:30:12+00:00,consult manager,,['Martin Klenk'],,['Application[770132]'],['Dionne Geisler'],
1806,2019-07-02 12:30:12+00:00,consult manager,,['Martin Klenk'],,['Application[770118]'],['Simon Hense'],
1807,2019-07-02 12:30:24+00:00,first screening,,,,['Application[770361]'],['Simon Hense'],
1808,2019-07-02 12:36:31+00:00,conduct interview,['Vacancy[550009] - Programmer'],['Martin Klenk'],['Sue Wang'],['Application[770182]'],['Jana Meister'],
1809,2019-07-02 12:47:11+00:00,consult manager,,['Alexander Rinke'],,['Application[770283]'],['Dionne Geisler'],
1810,2019-07-02 12:48:12+00:00,assign recruiter,,,,['Application[770334]'],"['Jana Keane', 'Dionne Kershaw', 'Ed Meister']",
1811,2019-07-02 12:54:34+00:00,assign recruiter,,,,['Application[770337]'],"['Jana Geisler', 'Simon Meister', 'Ed Kershaw']",
1812,2019-07-02 12:55:45+00:00,open vacancy,['Vacancy[550063] - Programmer'],['Miguel Milano'],,,,
1813,2019-07-02 13:07:57+00:00,make job offer,['Vacancy[550012] - Programmer'],['Miguel Milano'],['Ray Weber'],['Application[770170]'],['Ed Keane'],['Offer[[990007]]']
1814,2019-07-02 13:19:11+00:00,first screening,,,,['Application[770303]'],['Simon Hense'],
1815,2019-07-02 13:40:40+00:00,submit application,['Vacancy[550034] - Programmer'],,['Angela Neumann'],['Application[770380]'],,
1816,2019-07-02 13:49:52+00:00,invite for interview,['Vacancy[550020] - Consultant'],,['Mary Neumann'],['Application[770245]'],"['Jana Keane', 'Simon Meister']",
1817,2019-07-02 14:07:30+00:00,conduct interview,['Vacancy[550009] - Programmer'],['Martin Klenk'],['Johan Schmidt'],['Application[770130]'],['Ed Keane'],
1818,2019-07-02 14:31:26+00:00,assign recruiter,,,,['Application[770255]'],"['Simon Kershaw', 'Ed Kershaw', 'Simon Meister']",
1819,2019-07-02 14:48:23+00:00,first screening,,,,['Application[770299]'],['Simon Meister'],
1820,2019-07-02 15:05:39+00:00,submit application,['Vacancy[550048] - Programmer'],,['Angela Smith'],['Application[770381]'],,
1821,2019-07-02 15:09:49+00:00,check references,,,,['Application[770083]'],"['Ed Kershaw', 'Simon Hense']",
1822,2019-07-02 15:16:57+00:00,invite for interview,['Vacancy[550018] - Programmer'],,['Jorge Jansen'],['Application[770208]'],"['Ed Meister', 'Jana Keane']",
1823,2019-07-02 15:24:09+00:00,first screening,,,,['Application[770334]'],['Jana Keane'],
1824,2019-07-02 15:25:47+00:00,first screening,,,,['Application[770337]'],['Jana Geisler'],
1825,2019-07-02 15:49:59+00:00,submit application,,,['Angela Park'],['Application[770382]'],,
1826,2019-07-02 15:50:50+00:00,first screening,,,,['Application[770347]'],['Simon Geisler'],
1827,2019-07-02 15:56:14+00:00,first screening,,,,['Application[770300]'],['Simon Hense'],
1828,2019-07-02 16:08:07+00:00,assign recruiter,,,,['Application[770071]'],"['Dionne Keane', 'Jana Geisler', 'Ed Keane']",
1829,2019-07-02 16:19:43+00:00,first screening,,,,['Application[770368]'],['Ed Meister'],
1830,2019-07-02 16:34:31+00:00,send rejection,,,['Stephan Smith'],['Application[770023]'],['Dionne Hense'],
1831,2019-07-02 16:57:19+00:00,invite for interview,['Vacancy[550016] - Manager'],,['Andre Li'],['Application[770204]'],"['Dionne Hense', 'Dionne Meister']",
1832,2019-07-02 17:03:46+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770197]'],['Ed Kershaw'],
1833,2019-07-02 17:04:25+00:00,invite for interview,['Vacancy[550019] - Manager'],,['Stephan Taylor'],['Application[770001]'],"['Dionne Geisler', 'Dionne Hense']",
1834,2019-07-02 17:24:18+00:00,submit application,['Vacancy[550022] - Programmer'],,['Chun Davis'],['Application[770383]'],,
1835,2019-07-02 17:48:28+00:00,invite for interview,['Vacancy[550017] - Consultant'],,['Angela Taylor'],['Application[770253]'],"['Dionne Geisler', 'Simon Keane']",
1836,2019-07-02 19:17:15+00:00,submit application,,,['Andre Zimmermann'],['Application[770384]'],,
1837,2019-07-02 21:03:09+00:00,submit application,,,['Chun Johnson'],['Application[770385]'],,
1838,2019-07-03 03:42:45+00:00,open vacancy,['Vacancy[550064] - Manager'],['Martin Klenk'],,,,
1839,2019-07-03 04:29:35+00:00,submit application,['Vacancy[550049] - Programmer'],,['Johan Weber'],['Application[770386]'],,
1840,2019-07-03 06:18:15+00:00,invite for interview,['Vacancy[550003] - Programmer'],,['Jorge Lemmens'],['Application[770214]'],"['Jana Keane', 'Ed Meister']",
1841,2019-07-03 06:27:30+00:00,make job offer,['Vacancy[550005] - Programmer'],['Martin Klenk'],['Jorge Lopez'],['Application[770081]'],['Ed Geisler'],['Offer[[990008]]']
1842,2019-07-03 07:04:08+00:00,send rejection,,,['Detlef Neumann'],['Application[770262]'],['Ed Keane'],
1843,2019-07-03 07:04:10+00:00,conduct interview,['Vacancy[550017] - Consultant'],['Bastian Nominacher'],['Angela Taylor'],['Application[770253]'],['Dionne Kershaw'],
1844,2019-07-03 07:10:41+00:00,send rejection,,,['Pete Neumann'],['Application[770323]'],['Dionne Hense'],
1845,2019-07-03 07:27:13+00:00,send rejection,,,['Detlef Schmidt'],['Application[770300]'],['Simon Hense'],
1846,2019-07-03 07:34:52+00:00,submit application,,,['Chun Taylor'],['Application[770387]'],,
1847,2019-07-03 07:37:06+00:00,conduct interview,['Vacancy[550002] - Consultant'],['Bastian Nominacher'],['Sonia Zimmermann'],['Application[770052]'],['Simon Meister'],
1848,2019-07-03 08:09:30+00:00,invite for interview,['Vacancy[550001] - Manager'],,['Pete Smith'],['Application[770099]'],"['Jana Geisler', 'Dionne Hense']",
1849,2019-07-03 08:22:21+00:00,assign recruiter,,,,['Application[770184]'],"['Dionne Meister', 'Jana Keane', 'Jana Meister']",
1850,2019-07-03 08:22:51+00:00,check references,,,,['Application[770283]'],"['Jana Kershaw', 'Jana Geisler']",
1851,2019-07-03 08:52:15+00:00,conduct interview,['Vacancy[550019] - Manager'],['Vaishnavi Sashikanth'],['Stephan Taylor'],['Application[770001]'],['Dionne Keane'],
1852,2019-07-03 08:54:04+00:00,submit application,,,['Stephan Smith'],['Application[770388]'],,
1853,2019-07-03 09:14:37+00:00,job offer declined,['Vacancy[550003] - Programmer'],,['Detlef Wagner'],['Application[770166]'],['Simon Geisler'],['Offer[[990006]]']
1854,2019-07-03 09:21:02+00:00,send rejection,,,['Vanessa Johnson'],['Application[770197]'],['Ed Kershaw'],
1855,2019-07-03 09:27:36+00:00,assign vacancy,['Vacancy[550023] - Consultant'],,,['Application[770255]'],,
1856,2019-07-03 09:53:00+00:00,conduct interview,['Vacancy[550016] - Manager'],['Alexander Rinke'],['Detlef Davis'],['Application[770173]'],['Dionne Kershaw'],
1857,2019-07-03 10:08:59+00:00,assign recruiter,,,,['Application[770339]'],"['Jana Kershaw', 'Simon Geisler', 'Dionne Geisler']",
1858,2019-07-03 10:12:15+00:00,send rejection,,,['Vanessa Brown'],['Application[770190]'],['Jana Kershaw'],
1859,2019-07-03 10:32:28+00:00,submit application,['Vacancy[550049] - Programmer'],,['Dave Taylor'],['Application[770389]'],,
1860,2019-07-03 10:36:55+00:00,conduct interview,['Vacancy[550011] - Programmer'],['Miguel Milano'],['Lisa Zimmermann'],['Application[770157]'],['Jana Geisler'],
1861,2019-07-03 10:41:55+00:00,assign vacancy,['Vacancy[550013] - Manager'],,,['Application[770281]'],,
1862,2019-07-03 10:48:37+00:00,invite for interview,['Vacancy[550005] - Programmer'],,['Sue Jones'],['Application[770035]'],"['Ed Keane', 'Simon Hense']",
1863,2019-07-03 11:09:43+00:00,first screening,,,,['Application[770282]'],['Simon Geisler'],
1864,2019-07-03 11:17:36+00:00,first screening,,,,['Application[770246]'],['Ed Geisler'],
1865,2019-07-03 11:36:07+00:00,assign vacancy,['Vacancy[550047] - Consultant'],,,['Application[770207]'],,
1866,2019-07-03 11:49:15+00:00,submit application,['Vacancy[550044] - Manager'],,['Sonia Davis'],['Application[770390]'],,
1867,2019-07-03 12:02:52+00:00,assign vacancy,['Vacancy[550043] - Consultant'],,,['Application[770339]'],,
1868,2019-07-03 12:03:26+00:00,first screening,,,,['Application[770365]'],['Dionne Kershaw'],
1869,2019-07-03 12:11:34+00:00,close vacancy for new applications,['Vacancy[550021] - Programmer'],,,,,
1870,2019-07-03 12:11:34+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770124]'],['Jana Keane'],
1871,2019-07-03 12:32:11+00:00,send rejection,,,['Toon Jansen'],['Application[770002]'],['Jana Meister'],
1872,2019-07-03 12:40:54+00:00,first screening,,,,['Application[770251]'],['Simon Geisler'],
1873,2019-07-03 12:59:18+00:00,check references,,,,['Application[770353]'],"['Dionne Kershaw', 'Ed Geisler']",
1874,2019-07-03 13:02:58+00:00,conduct interview,['Vacancy[550002] - Consultant'],['Bastian Nominacher'],['Ray Lopez'],['Application[770018]'],['Dionne Geisler'],
1875,2019-07-03 13:18:14+00:00,send rejection,,,['Stephan Wang'],['Application[770085]'],['Ed Kershaw'],
1876,2019-07-03 13:22:50+00:00,submit application,,,['Sue Park'],['Application[770391]'],,
1877,2019-07-03 13:35:19+00:00,send rejection,,,['Andre Lopez'],['Application[770139]'],['Dionne Kershaw'],
1878,2019-07-03 13:36:58+00:00,assign recruiter,,,,['Application[770359]'],"['Ed Keane', 'Jana Kershaw', 'Jana Hense']",
1879,2019-07-03 13:37:33+00:00,consult manager,,['Ariel Bardin'],,['Application[770333]'],['Dionne Keane'],
1880,2019-07-03 13:37:59+00:00,open vacancy,['Vacancy[550065] - Manager'],['Bastian Nominacher'],,,,
1881,2019-07-03 13:41:12+00:00,change manager,['Vacancy[550017] - Consultant'],"['Bastian Nominacher', 'Martin Klenk']",,,,
1882,2019-07-03 13:41:51+00:00,send rejection,,,['Ray Lopez'],['Application[770018]'],['Dionne Geisler'],
1883,2019-07-03 13:42:40+00:00,assign recruiter,,,,['Application[770325]'],"['Simon Keane', 'Simon Meister', 'Dionne Kershaw']",
1884,2019-07-03 13:44:08+00:00,invite for interview,['Vacancy[550011] - Programmer'],,['Dave Lopez'],['Application[770033]'],"['Jana Hense', 'Ed Keane']",
1885,2019-07-03 13:48:08+00:00,check references,,,,['Application[770316]'],"['Jana Geisler', 'Simon Geisler']",
1886,2019-07-03 13:55:25+00:00,send rejection,,,['Chun Wang'],['Application[770287]'],['Ed Geisler'],
1887,2019-07-03 14:03:03+00:00,send rejection,,,['Toon Neumann'],['Application[770132]'],['Dionne Geisler'],
1888,2019-07-03 14:04:01+00:00,assign vacancy,['Vacancy[550033] - Programmer'],,,['Application[770184]'],,
1889,2019-07-03 14:05:54+00:00,check references,,,,['Application[770272]'],"['Ed Meister', 'Dionne Keane']",
1890,2019-07-03 14:12:39+00:00,send rejection,,,['Andre Park'],['Application[770235]'],['Jana Keane'],
